City_ID,City,Lat,Lon,Max Temp,Humidity,Cloudiness,Windspeed,Country,Date
0,Ribeira Grande,38.52,-28.7,60.8,67,40,6.93,PT,1603262680
1,Grindavik,63.84,-22.43,37.4,86,90,9.17,IS,1603262680
2,Christchurch,-43.53,172.63,59.0,67,0,8.05,NZ,1603262494
3,Sedalia,38.7,-93.23,46.4,93,1,8.05,US,1603262680
4,La Ciotat,43.17,5.6,61.0,79,53,5.01,FR,1603262681
5,Lagoa,39.05,-27.98,62.96,70,58,22.7,PT,1603262681
6,Busselton,-33.65,115.33,62.01,84,2,7.0,AU,1603262681
7,Imatra,61.17,28.75,30.2,86,40,6.93,FI,1603262681
8,Hobart,-42.88,147.33,60.8,51,75,10.29,AU,1603262626
9,Rikitea,-23.12,-134.97,73.89,77,21,9.89,PF,1603262681
10,Chui,-33.7,-53.46,56.82,75,67,12.12,UY,1603262682
11,Tasiilaq,65.61,-37.64,32.0,97,97,11.41,GL,1603262682
12,Punta Arenas,-53.15,-70.92,37.4,74,75,8.05,CL,1603262682
13,East London,-33.02,27.91,66.2,42,0,6.93,ZA,1603262682
14,Namatanai,-3.67,152.43,82.2,74,69,2.66,PG,1603262414
15,Kigoma,-4.88,29.63,71.6,88,75,10.2,TZ,1603262682
16,Tuktoyaktuk,69.45,-133.04,20.86,96,100,13.98,CA,1603262683
17,Māngrol,21.12,70.12,88.5,61,0,6.87,IN,1603262683
18,Ribas do Rio Pardo,-20.44,-53.76,70.88,85,100,1.7,BR,1603262683
19,Severo-Kuril'sk,50.68,156.12,41.25,70,48,24.63,RU,1603262683
20,Dikson,73.51,80.55,23.97,97,98,5.66,RU,1603262683
21,Prăjeni,47.52,27.02,48.0,75,100,8.05,RO,1603262683
22,Alofi,-19.06,-169.92,71.6,94,100,17.22,NU,1603262684
23,Bereda,43.27,-7.54,55.0,100,43,5.99,ES,1603262684
24,Mitsamiouli,-11.38,43.28,80.73,72,17,6.15,KM,1603262684
25,Jamestown,42.1,-79.24,55.0,100,90,6.93,US,1603262684
26,Port Hawkesbury,45.62,-61.35,55.0,93,75,2.24,CA,1603262684
27,Ushuaia,-54.8,-68.3,39.2,80,20,12.75,AR,1603262684
28,Qaanaaq,77.48,-69.36,20.05,82,97,5.86,GL,1603262685
29,Constantine,36.37,6.61,51.8,57,0,9.17,DZ,1603262685
30,Arraial do Cabo,-22.97,-42.03,71.71,90,9,14.41,BR,1603262685
31,Bluff,-46.6,168.33,55.99,68,43,8.99,NZ,1603262685
32,Yellowknife,62.46,-114.35,23.0,73,90,9.17,CA,1603262596
33,Mar del Plata,-38.0,-57.56,52.0,93,0,6.38,AR,1603262685
34,Albany,42.6,-73.97,50.0,85,94,2.19,US,1603262686
35,Butaritari,3.07,172.79,82.08,75,71,7.4,KI,1603262686
36,Yangi Marg`ilon,40.43,71.72,68.0,30,0,4.7,UZ,1603262686
37,Bandarbeyla,9.49,50.81,86.58,45,1,8.21,SO,1603262462
38,Xudat,41.63,48.68,57.92,74,97,5.77,AZ,1603262686
39,Lorengau,-2.02,147.27,83.86,70,99,3.65,PG,1603262686
40,Adrar,20.5,-10.07,79.09,20,0,4.92,MR,1603262687
41,Kapaa,22.08,-159.32,77.0,83,75,4.7,US,1603262687
42,Norman Wells,65.28,-126.83,23.0,85,90,13.87,CA,1603262687
43,Castro,-24.79,-50.01,60.82,96,95,8.63,BR,1603262447
44,Saskylakh,71.92,114.08,16.34,96,71,5.91,RU,1603262687
45,Inírida,3.87,-67.92,73.8,95,71,1.81,CO,1603262687
46,Fairbanks,64.84,-147.72,21.99,85,90,1.14,US,1603262452
47,Hamilton,39.18,-84.53,62.01,87,20,9.17,US,1603262559
48,Moses Lake,47.13,-119.28,50.0,39,1,9.17,US,1603262688
49,Plastun,44.76,136.29,55.98,80,100,6.73,RU,1603262688
50,Puerto Ayora,-0.74,-90.35,69.01,90,70,5.01,EC,1603262688
51,Mikhaylovka,50.06,43.24,42.01,72,0,8.01,RU,1603262688
52,Mahibadhoo,3.78,72.97,82.47,79,58,13.0,MV,1603262688
53,Hibbing,47.43,-92.94,30.2,92,90,3.38,US,1603262688
54,Uzhhorod,48.62,22.3,44.6,75,100,6.71,UA,1603262689
55,Avarua,-21.21,-159.78,73.4,88,100,9.17,CK,1603262676
56,Buchanan,5.88,-10.05,77.0,94,75,4.43,LR,1603262689
57,Buraidah,26.33,43.98,75.2,29,0,2.24,SA,1603262689
58,Atuona,-9.8,-139.03,77.7,75,8,18.05,PF,1603262689
59,Isiro,2.77,27.62,79.02,66,57,3.27,CD,1603262689
60,De-Kastri,51.47,140.78,46.51,72,100,9.69,RU,1603262689
61,Ternate,0.8,127.4,83.57,74,41,9.01,ID,1603262690
62,Russell,32.35,-85.2,66.99,88,75,5.26,US,1603262690
63,Vaini,-21.2,-175.2,71.6,78,90,5.82,TO,1603262690
64,Lac-Mégantic,45.58,-70.88,42.01,92,100,1.99,CA,1603262690
65,Taltal,-25.4,-70.48,56.53,76,59,1.59,CL,1603262690
66,Jacksonville,30.33,-81.66,73.99,88,90,4.7,US,1603262611
67,Thinadhoo,0.53,72.93,82.6,80,3,11.72,MV,1603262690
68,Pontianak,-0.03,109.33,87.69,65,38,7.14,ID,1603262691
69,Mahébourg,-20.41,57.7,80.6,65,75,14.99,MU,1603262691
70,Muscat,23.61,58.59,87.8,22,0,5.82,OM,1603262691
71,Saint Paul Harbor,57.79,-152.41,39.2,60,1,6.93,US,1603262552
72,Salisbury,51.07,-1.8,57.99,93,90,10.29,GB,1603262691
73,São Filipe,14.9,-24.5,81.61,72,54,4.36,CV,1603262691
74,Padang,-0.95,100.35,85.53,66,99,7.02,ID,1603262691
75,Port Lincoln,-34.73,135.87,64.63,62,96,10.69,AU,1603262558
76,Brae,60.4,-1.35,46.4,87,75,32.21,GB,1603262692
77,Dzhebariki-Khaya,62.22,135.8,19.69,94,100,5.84,RU,1603262692
78,Coquimbo,-29.95,-71.34,53.6,93,0,3.06,CL,1603262692
79,Shache,38.42,77.24,69.19,19,0,0.96,CN,1603262692
80,Tuatapere,-46.13,167.68,55.99,68,40,8.99,NZ,1603262430
81,Nirgua,10.16,-68.57,66.56,93,81,1.81,VE,1603262692
82,Kenai,60.55,-151.26,39.0,86,1,4.38,US,1603262693
83,Constitución,-35.33,-72.42,49.87,75,34,8.95,CL,1603262693
84,Laas,46.62,10.7,48.99,100,40,4.7,IT,1603262693
85,Mataura,-46.19,168.86,55.99,68,95,8.99,NZ,1603262693
86,Kuloy,61.03,42.49,32.99,93,100,10.56,RU,1603262693
87,Rio Verde de Mato Grosso,-18.92,-54.84,72.63,82,99,3.29,BR,1603262694
88,Provideniya,64.38,-173.3,42.8,87,75,8.95,RU,1603262694
89,Portland,45.52,-122.68,55.4,76,75,9.17,US,1603261914
90,Trelew,-43.25,-65.31,50.0,76,75,5.82,AR,1603262694
91,Vicksburg,32.35,-90.88,68.0,100,40,4.36,US,1603262694
92,Karwar,14.8,74.13,80.73,79,56,3.27,IN,1603262492
93,Japura,-0.32,102.35,85.69,81,100,3.27,ID,1603262695
94,Honiara,-9.43,159.95,80.6,88,40,11.41,SB,1603262686
95,Roboré,-18.33,-59.75,71.31,83,34,0.4,BO,1603262695
96,Morehead,37.27,-87.18,68.0,82,1,5.82,US,1603262695
97,Copperas Cove,31.12,-97.9,73.4,78,1,9.17,US,1603262695
98,Upernavik,72.79,-56.15,31.23,99,100,11.63,GL,1603262695
99,Itarema,-2.92,-39.92,78.66,74,79,14.18,BR,1603262696
100,Lompoc,34.64,-120.46,57.99,93,90,3.36,US,1603262653
101,Oussouye,12.48,-16.55,82.4,88,40,4.7,SN,1603262696
102,Bengkulu,-3.8,102.27,85.01,67,91,8.01,ID,1603262696
103,Mubi,10.27,13.26,78.89,40,0,1.32,NG,1603262697
104,Hilo,19.73,-155.09,75.2,73,1,3.36,US,1603262621
105,Avera,33.19,-82.53,64.4,96,1,4.7,US,1603262697
106,Berlevåg,70.86,29.09,33.8,81,75,5.82,NO,1603262697
107,Beloha,-25.17,45.05,90.66,26,0,5.84,MG,1603262697
108,Marshall,34.38,-86.33,63.0,87,1,4.09,US,1603262697
109,Resistencia,-27.46,-58.98,73.4,78,50,10.29,AR,1603262697
110,Turaif,31.67,38.66,75.2,14,0,9.17,SA,1603262698
111,Río Gallegos,-51.62,-69.22,41.0,65,100,14.99,AR,1603262481
112,Narsaq,60.92,-46.05,32.0,90,100,2.35,GL,1603262698
113,The Valley,18.22,-63.06,82.4,74,20,4.7,AI,1603262698
114,Lakatoro,-16.1,167.42,77.0,94,75,10.0,VU,1603262698
115,Saint-Philippe,-21.36,55.77,82.4,54,20,23.04,RE,1603262698
116,Cabo San Lucas,22.89,-109.91,79.0,69,0,1.01,MX,1603262460
117,Port Blair,11.67,92.75,84.54,75,0,16.02,IN,1603262648
118,Gornopravdinsk,60.05,69.9,37.27,85,93,7.52,RU,1603262699
119,Praia da Vitória,38.73,-27.07,59.0,72,40,23.76,PT,1603262699
120,Cape Town,-33.93,18.42,64.0,67,0,13.87,ZA,1603262694
121,Kurya,51.6,82.29,58.53,34,65,9.1,RU,1603262699
122,Kapoeta,4.77,33.59,82.83,55,35,9.51,SS,1603262700
123,Port Alfred,-33.59,26.89,64.63,50,0,3.67,ZA,1603262700
124,Carnarvon,-24.87,113.63,75.2,57,40,21.92,AU,1603262700
125,Léo,11.1,-2.1,76.89,70,0,5.35,BF,1603262700
126,Buala,-8.14,159.59,82.44,74,77,5.5,SB,1603262700
127,Bredasdorp,-34.53,20.04,57.2,71,0,1.12,ZA,1603262700
128,Kaitangata,-46.28,169.85,54.0,64,98,1.01,NZ,1603262701
129,Korla,41.76,86.15,67.15,23,0,11.86,CN,1603262701
130,Batagay-Alyta,67.8,130.41,10.96,92,100,1.86,RU,1603262701
131,Sunbury,-37.58,144.73,63.0,59,75,14.99,AU,1603262701
132,Lüderitz,-26.65,15.16,75.2,20,0,7.54,NA,1603262701
133,Imuris,30.78,-110.87,64.15,30,0,2.01,MX,1603262702
134,Alabaster,33.24,-86.82,68.0,88,1,3.91,US,1603262614
135,Nanortalik,60.14,-45.24,33.87,90,100,12.8,GL,1603262457
136,Olafsvik,64.89,-23.71,41.14,90,100,12.95,IS,1603262703
137,Bagdarin,54.43,113.6,26.87,75,0,5.39,RU,1603262703
138,Tres Arroyos,-38.37,-60.28,38.48,74,0,6.44,AR,1603262704
139,Tautira,-17.73,-149.15,78.8,74,40,4.7,PF,1603262704
140,Hermanus,-34.42,19.23,60.01,73,0,1.01,ZA,1603262704
141,Kodinsk,58.69,99.18,35.96,85,100,6.29,RU,1603262704
142,Binzhou,37.37,118.02,68.0,25,0,3.0,CN,1603262705
143,Paengaroa,-37.82,176.42,63.0,87,100,5.77,NZ,1603262705
144,Geraldton,-28.77,114.6,71.6,56,90,19.46,AU,1603262705
145,Humberto de Campos,-2.6,-43.46,76.46,80,68,6.62,BR,1603262705
146,Sungai Raya,0.7,108.9,87.75,63,93,6.82,ID,1603262705
147,Kavaratti,10.57,72.64,86.0,70,40,5.82,IN,1603262705
148,Tiksi,71.69,128.87,8.15,92,89,8.1,RU,1603262706
149,Novikovo,51.15,37.89,41.43,67,60,6.89,RU,1603262706
150,Louviers,49.22,1.17,55.99,100,90,14.99,FR,1603262706
151,Kapit,2.02,112.93,90.93,54,99,4.25,MY,1603262706
152,Mehamn,71.04,27.85,32.0,86,40,5.82,NO,1603262707
153,Necochea,-38.55,-58.74,36.0,91,0,3.0,AR,1603262528
154,San Cristobal,7.77,-72.22,65.14,90,100,1.77,VE,1603262645
155,Barrow,71.29,-156.79,30.2,86,90,16.11,US,1603262707
156,Nikolskoye,59.7,30.79,32.0,88,90,4.47,RU,1603262708
157,Sandpoint,48.28,-116.55,37.99,93,1,1.14,US,1603262708
158,Ketchikan,55.34,-131.65,41.0,100,90,3.36,US,1603262459
159,Yulara,-25.24,130.99,100.4,10,0,19.46,AU,1603262708
160,Pisco,-13.7,-76.22,62.6,82,43,9.17,PE,1603262656
161,Esso,55.93,158.7,25.74,92,78,9.22,RU,1603262709
162,Mtimbira,-8.78,36.35,86.68,44,81,3.09,TZ,1603262709
163,Chokurdakh,70.63,147.92,9.18,94,98,6.69,RU,1603262709
164,Hobyo,5.35,48.53,83.88,69,1,7.58,SO,1603262709
165,Pangnirtung,66.15,-65.71,21.9,93,93,3.44,CA,1603262471
166,Naze,28.37,129.48,80.6,74,75,13.87,JP,1603262709
167,Fort Nelson,58.81,-122.7,15.8,66,40,6.93,CA,1603262710
168,São Félix do Xingu,-6.64,-51.99,73.63,79,51,0.63,BR,1603262710
169,Kombissiri,12.07,-1.34,75.2,83,0,2.24,BF,1603262710
170,Ahipara,-35.17,173.17,59.68,83,89,3.2,NZ,1603262710
171,Banda Aceh,5.56,95.32,87.71,56,5,14.99,ID,1603262710
172,Ilulissat,69.22,-51.1,33.8,80,100,9.17,GL,1603262689
173,Kavieng,-2.57,150.8,77.43,88,100,5.17,PG,1603262711
174,Half Moon Bay,37.46,-122.43,64.99,59,1,2.35,US,1603262412
175,Seoul,37.57,126.98,64.4,59,75,5.82,KR,1603262645
176,Boajibu,8.18,-11.33,72.14,96,43,0.92,SL,1603262711
177,Khon Buri,14.53,102.25,80.01,88,75,6.93,TH,1603262711
178,Thompson,55.74,-97.86,23.0,85,90,2.24,CA,1603262711
179,Sitka,57.05,-135.33,37.4,86,75,5.82,US,1603262712
180,Mossamedes,-15.2,12.15,69.82,84,92,8.48,AO,1603262712
181,Zverinogolovskoye,54.46,64.85,43.3,62,100,7.27,RU,1603262712
182,Meulaboh,4.14,96.13,86.76,60,98,7.99,ID,1603262712
183,Clyde River,70.47,-68.59,28.4,86,90,13.87,CA,1603262712
184,Ust-Kuyga,70.02,135.6,5.11,93,63,5.01,RU,1603262713
185,Chaohu,31.6,117.87,69.8,49,100,6.71,CN,1603262713
186,College,64.86,-147.8,21.99,85,90,1.12,US,1603262614
187,Cherskiy,68.75,161.3,19.47,97,79,2.55,RU,1603262421
188,Mildura,-34.2,142.15,82.99,19,45,8.05,AU,1603262555
189,Makakilo City,21.35,-158.09,80.6,74,1,4.7,US,1603262714
190,Kilinochchi,9.4,80.4,89.98,54,99,16.2,LK,1603262714
191,Narón,43.52,-8.15,57.0,93,40,8.05,ES,1603262714
192,Kampot,10.62,104.18,82.4,88,40,1.12,KH,1603262714
193,Kruisfontein,-34.0,24.73,63.0,66,0,3.0,ZA,1603262714
194,Los Llanos de Aridane,28.66,-17.92,73.4,53,40,17.22,ES,1603262715
195,Lakes Entrance,-37.88,147.98,57.0,83,72,3.0,AU,1603262715
196,Yairipok,24.67,94.07,76.21,84,62,3.11,IN,1603262715
197,Jumla,29.27,82.18,70.27,20,0,5.17,NP,1603262715
198,Mandera,3.94,41.87,86.36,50,50,10.8,KE,1603262716
199,Saint-Pierre,-21.34,55.48,82.4,54,20,23.04,RE,1603262713
200,Katsuura,35.13,140.3,69.01,63,20,16.11,JP,1603262535
201,Port Elizabeth,-33.92,25.57,62.6,63,0,6.93,ZA,1603262716
202,Tura,25.52,90.22,82.92,79,52,1.19,IN,1603262716
203,Katobu,-4.94,122.53,89.89,49,37,3.04,ID,1603262717
204,Roebourne,-20.78,117.13,89.94,29,92,23.94,AU,1603262717
205,Santa Vitória do Palmar,-33.52,-53.37,57.96,73,97,12.53,BR,1603262717
206,Sioux Lookout,50.1,-91.92,28.4,92,90,3.36,CA,1603262717
207,New Norfolk,-42.78,147.06,57.99,56,100,1.01,AU,1603262717
208,Ndélé,8.41,20.65,80.65,73,85,2.15,CF,1603262718
209,Vila Velha,-20.33,-40.29,68.0,94,40,5.82,BR,1603262718
210,Ancud,-41.87,-73.82,39.99,86,0,4.7,CL,1603262718
211,Khanpur,28.65,70.66,96.6,9,0,2.21,PK,1603262700
212,Saint George,37.1,-113.58,62.6,16,1,5.82,US,1603262707
213,Khatanga,71.97,102.5,5.72,95,81,7.61,RU,1603262719
214,Mizdah,31.45,12.98,59.79,70,0,8.7,LY,1603262719
215,Vero Beach,27.64,-80.4,73.4,94,90,12.75,US,1603262719
216,San Patricio,28.02,-97.52,79.0,94,20,5.82,US,1603262719
217,Hwange,-18.37,26.5,90.45,15,0,10.65,ZW,1603262468
218,Karratha,-20.74,116.85,85.37,37,100,23.51,AU,1603262656
219,Malaya Serdoba,52.47,44.95,37.58,76,93,17.09,RU,1603262720
220,Ambon City,-3.7,128.18,84.2,79,40,8.05,ID,1603262720
221,Vila Franca do Campo,37.72,-25.43,59.0,72,20,12.75,PT,1603262720
222,Goderich,43.75,-81.72,46.99,86,100,25.75,CA,1603262499
223,Vao,-22.67,167.48,73.2,85,4,13.11,NC,1603262720
224,Lebu,-37.62,-73.65,47.17,87,2,15.77,CL,1603262721
225,Aasiaat,68.71,-52.87,29.71,96,100,4.29,GL,1603262721
226,Pevek,69.7,170.31,31.82,96,100,12.01,RU,1603262437
227,Anjiang,27.32,110.1,69.4,54,1,6.04,CN,1603262721
228,Touros,-5.2,-35.46,73.4,94,75,4.7,BR,1603262721
229,Hithadhoo,-0.6,73.08,82.6,78,0,12.93,MV,1603262722
230,Kashgar,39.45,75.98,64.4,15,0,4.47,CN,1603262722
231,Aksarka,66.56,67.8,23.09,98,92,7.43,RU,1603262722
232,Shalyhyne,51.57,34.12,41.85,73,100,9.19,UA,1603262722
